French,English
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
frère,brother
car,because
mettre,to put
eux,them
chaque,each
parlé,speak
devrait,should
longtemps,long time
heures,hours
pendant,while
revoir,meet again
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
vieux,old
tiens,here
tellement,so much
point,point
venu,came
suite,after
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
parti,left
nouvelle,new
arrêter,Stop
compte,account
donne,given
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
